codi;sigles;assignatura
230484;NTECH;NANOTECNOLOGIA
230485;ADMAT;MATERIALS AVANÇATS
230486;SIMCON;SIMULACIÓ COMPUTACIONAL DE LA MATÈRIA CONDENSADA
230487;PHYSFLU;FÍSICA DE FLUIDS
230488;ASTRO;ASTROFÍSICA I COSMOLOGIA
230489;RELG;RELATIVITAT GENERAL
230490;CPIA;PROGRAMACIÓ INFORMÀTICA I LES SEVES APLICACIONS
230550;INTRO;INTRODUCTION TO PHOTONICS: OPTICS AND LASERS
230551;LAB;PHOTONICS LABORATORY
230552;BUSINE;BUSINESS AND PATENTS IN PHOTONICS
230553;BEAMFO;BEAM PROPAGATION AND FOURIER OPTICS
230555;QO;QUANTUM OPTICS
230558;EXPQO;ADVANCED QUANTUM OPTICS WITH APPLICATIONS
230561;IMPROCES;IMAGE PROCESSING IN BIOPHOTONICS
230562;MATMETA;PHOTONIC MATERIALS AND METAMATERIALS
230563;NLO;NON-LINEAR OPTICS
230566;FIBERS;FIBRES AND TELECOMMUNICATIONS
230567;INTEGR;INTEGRATED PHOTONICS
230569;PHOTOV;OPTOELECTRONICS AND PHOTOVOLTAIC TECHNOLOGY
230570;LASERS;LASER SYSTEMS AND APPLICATIONS
230573;MEASUR;MEASURING WITH LIGHT
230575;SR;RESEARCH SEMINAR
230578;QS;QUANTUM SIMULATORS WITH ULTRACOLD QUANTUM GASES
230579;FCTBEC;FROM COOLING AND TRAPPING OF NEUTRAL ATOMS TO BOSE-EINSTEIN CONDENSATES
230582;VOB;VISUAL OPTICS AND BIOPHOTONICS
230600;DC;DIGITAL COMMUNICATIONS
230601;SIGPRO;SIGNAL PROCESSING
230602;AAM;ANTENNAS AND MICROWAVES
230603;TSF;FUNDAMENTALS OF TELECOMMUNICATION SYSTEMS
230605;DTP;DATA TRANSMISSION PROTOCOLS
230611;IT;INFORMATION THEORY
230617;NS;NETWORK SECURITY
230618;WAN;WIRELESS ACCESS NETWORKS
230620;DIVP;DIGITAL IMAGE AND VIDEO PROCESSING
230622;DSAP;DIGITAL AUDIO AND SPEECH PROCESSING
230624;BIOM;BIOMETRICS
230625;MLEARN;MACHINE LEARNING FROM DATA
230626;NMEE;NUMERICAL METHODS FOR ELECTROMAGNETIC ENGINEERING
230631;OFT;OPTICAL FIBRE TELECOMMUNICATIONS
230632;ARRAYS;ARRAY PROCESSING AND SMART ANTENNAS
230635;MRS;MICROWAVE IMAGING FOR REMOTE SENSING
230639;TAM;TECHNOLOGY ASSET MANAGEMENT
230647;ACWS;ADVANCED COMMUNICATIONS FOR WIRELESS SYSTEMS
230648;WLA;WIRELESS COMMUNICATION LINKS AND ANTENNAS
230649;TSYS;TELECOMMUNICATIONS SYSTEMS
230650;CN;COMMUNICATION NETWORKS
230651;OVNET;OVERLAY NETWORKS
230652;ESDC;ELECTRONIC SYSTEM DESIGN FOR COMMUNICATIONS
230653;EIO;ELECTRONIC INSTRUMENTATION AND OPTOELECTRONICS
230654;IBSM;INNOVATION-BASED SERVICE MANAGEMENT
230655;MTP;MANAGEMENT OF TELECOMMUNICATIONS PROJECTS
230673;EMC;EMC IN ELECTRONIC DESIGN
230675;EDIS;ENERGY MANAGEMENT FOR DISTRIBUTED AND INTEGRATED SYSTEMS
230678;MOSIC;MODELLING, SIMULATION AND CONTROL OF POWER ELECTRONIC SYSTEMS
230687;INE;INTERNET AND NETWORK ECONOMY
230689;WLAB;WIRELESS LABORATORY
230694;IBES;INTRODUCTION TO BIOMEDICAL ELECTRONIC SYSTEMS
230698;OPNET;OPTICAL NETWORKS
230700;RES1;INTRODUCTION TO RESEARCH I
230701;RES2;INTRODUCTION TO RESEARCH II
230702;RES3;INTRODUCTION TO RESEARCH III
230706;DLAI;DEEP LEARNING FOR ARTIFICIAL INTELLIGENCE
230707;AES;AUTOMOTIVE EMBEDDED SYSTEMS
230709;5GMCS;5G MOBILE COMMUNICATIONS SYSTEMS
230712;EWOC;ENTREPRENEURSHIP FOR WORLD CHALLENGES
230713;DPROT;DATA PROTECTION
230715;CSMAGT;CYBERSECURITY MANAGEMENT
230718;WMAD;WEB AND MOBILE APP DEVELOPMENT
230719;ARQSOFT;SOFTWARE ARCHITECTURE
230720;INMAN;OPTIMISATION AND ARTIFICIAL INTELLIGENCE TECHNIQUES IN NETWORK MANAGEMENT
230721;SNET;SOCIAL NETWORKS: THEORY AND IMPLEMENTATION
230728;CAPE;CONTROL AND APPLICATIONS IN POWER ELECTRONICS
230729;CDEL;CONFIGURABLE DIGITAL ELECTRONICS
230730;DAMC;DESIGN OF ANALOGUE MICROELECTRONIC CIRCUITS
230731;DND;DIGITAL NANOELECTRONIC DESIGN
230732;EIWC;ENTREPRENEURSHIP AND INNOVATION FOR WORLD CHALLENGES
230733;EMST;ELECTRONIC MEASUREMENT SCIENCE AND TECHNOLOGY
230734;FSD;FUNDAMENTALS OF SEMICONDUCTOR DEVICES
230735;HDD;HIGH-LEVEL DIGITAL DESIGN
